Origin,OriginCityName,Timezone,Daylight Savings,TimeDelta
ABI,"Abilene, TX",US/Central,Yes,2
ACT,"Waco, TX",US/Central,Yes,2
ACY,"Atlantic City, NJ",US/Eastern,Yes,1
ADK,"Adak Island, AK",US/Alaska,Yes,5
ADQ,"Kodiak, AK",US/Alaska,Yes,5
ALO,"Waterloo, IA",US/Central,Yes,2
ART,"Watertown, NY",US/Eastern,Yes,1
ATY,"Watertown, SD",US/Central,Yes,2
AZA,"Phoenix, AZ",US/Arizona,No,3
BET,"Bethel, AK",US/Alaska,Yes,5
BFM,"Mobile, AL",US/Central,Yes,2
BLV,"Belleville, IL",US/Central,Yes,2
BPT,"Beaumont/Port Arthur, TX",US/Central,Yes,2
BRW,"Barrow, AK",US/Alaska,Yes,5
CDV,"Cordova, AK",US/Alaska,Yes,5
CYS,"Cheyenne, WY",US/Mountain,Yes,3
DBQ,"Dubuque, IA",US/Central,Yes,2
DRT,"Del Rio, TX",US/Central,Yes,2
DVL,"Devils Lake, ND",US/Central,Yes,2
EAR,"Kearney, NE",US/Central,Yes,2
FLG,"Flagstaff, AZ",US/Arizona,No,3
FLO,"Florence, SC",US/Eastern,Yes,1
GCK,"Garden City, KS",US/Central,Yes,2
GGG,"Longview, TX",US/Central,Yes,2
HGR,"Hagerstown, MD",US/Eastern,Yes,1
HVN,"New Haven, CT",US/Eastern,Yes,1
IAG,"Niagara Falls, NY",US/Eastern,Yes,1
IPT,"Williamsport, PA",US/Eastern,Yes,1
ITO,"Hilo, HI",US/Hawaii,No,6
JHM,"Kapalua, HI",US/Hawaii,No,6
JLN,"Joplin, MO",US/Central,Yes,2
LAW,"Lawton/Fort Sill, OK",US/Central,Yes,2
LBE,"Latrobe, PA",US/Eastern,Yes,1
LBF,"North Platte, NE",US/Central,Yes,2
LBL,"Liberal, KS",US/Central,Yes,2
LCK,"Columbus, OH",US/Eastern,Yes,1
LNY,"Lanai, HI",US/Hawaii,No,6
LWB,"Lewisburg, WV",US/Eastern,Yes,1
LYH,"Lynchburg, VA",US/Eastern,Yes,1
MEI,"Meridian, MS",US/Central,Yes,2
MHK,"Manhattan/Ft. Riley, KS",US/Central,Yes,2
MKK,"Hoolehua, HI",US/Hawaii,No,6
MMH,"Mammoth Lakes, CA",US/Pacific,Yes,4
OGD,"Ogden, UT",US/Mountain,Yes,3
OGS,"Ogdensburg, NY",US/Eastern,Yes,1
OME,"Nome, AK",US/Alaska,Yes,5
OTZ,"Kotzebue, AK",US/Alaska,Yes,5
OWB,"Owensboro, KY",US/Eastern,Yes,1
PAE,"Everett, WA",US/Pacific,Yes,4
PBG,"Plattsburgh, NY",US/Eastern,Yes,1
PGD,"Punta Gorda, FL",US/Eastern,Yes,1
PGV,"Greenville, NC",US/Eastern,Yes,1
PIB,"Hattiesburg/Laurel, MS",US/Central,Yes,2
PIE,"St. Petersburg, FL",US/Eastern,Yes,1
PIR,"Pierre, SD",US/Central,Yes,2
PQI,"Presque Isle/Houlton, ME",US/Eastern,Yes,1
PRC,"Prescott, AZ",US/Arizona,No,3
PSE,"Ponce, PR",America/Puerto_Rico,No,0
PSG,"Petersburg, AK",US/Alaska,Yes,5
PSM,"Portsmouth, NH",US/Eastern,Yes,1
PVU,"Provo, UT",US/Mountain,Yes,3
RFD,"Rockford, IL",US/Central,Yes,2
ROW,"Roswell, NM",US/Mountain,Yes,3
SBY,"Salisbury, MD",US/Eastern,Yes,1
SCC,"Deadhorse, AK",US/Alaska,Yes,5
SFB,"Sanford, FL",US/Eastern,Yes,1
SHD,"Staunton, VA",US/Eastern,Yes,1
SJT,"San Angelo, TX",US/Central,Yes,2
SLN,"Salina, KS",US/Central,Yes,2
SPS,"Wichita Falls, TX",US/Central,Yes,2
STC,"St. Cloud, MN",US/Central,Yes,2
SUX,"Sioux City, IA",US/Central,Yes,2
SWO,"Stillwater, OK",US/Central,Yes,2
TTN,"Trenton, NJ",US/Eastern,Yes,1
TXK,"Texarkana, AR",US/Central,Yes,2
TYR,"Tyler, TX",US/Central,Yes,2
UIN,"Quincy, IL",US/Central,Yes,2
USA,"Concord, NC",US/Eastern,Yes,1
VEL,"Vernal, UT",US/Mountain,Yes,3
WRG,"Wrangell, AK",US/Alaska,Yes,5
YAK,"Yakutat, AK",US/Alaska,Yes,5
YUM,"Yuma, AZ",US/Arizona,No,3
BQN,"Agudilla, PR",America/Puerto_Rico,No,0
CAK,"Akron, OH",US/Eastern,Yes,1
AMA,"Amarillo, TX",US/Central,Yes,2
ACV,"Arcata/Eureka, CA",US/Pacific,Yes,4
HTS,"Ashland, WV",US/Eastern,Yes,1
ASE,"Aspen, CO",US/Mountain,Yes,3
BFL,"Bakersfield, CA",US/Pacific,Yes,4
BLI,"Bellingham, WA",US/Pacific,Yes,4
BRO,"Brownsville, TX",US/Central,Yes,2
CGI,"Cape Girardeau, MO",US/Central,Yes,2
CMI,"Champaign/Urbana, IL",US/Central,Yes,2
CKB,"Clarksburg/Fairmont, WV",US/Eastern,Yes,1
COD,"Cody, WY",US/Mountain,Yes,3
CLL,"College Station/Bryan, TX",US/Central,Yes,2
COU,"Columbia, MO",US/Central,Yes,2
CRP,"Corpus Christi, TX",US/Central,Yes,2
DIK,"Dickinson, ND",US/Central,Yes,2
DRO,"Durango, CO",US/Mountain,Yes,3
EGE,"Eagle, CO",US/Mountain,Yes,3
EAU,"Eau Claire, WI",US/Central,Yes,2
ERI,"Erie, PA",US/Eastern,Yes,1
FNT,"Flint, MI",US/Eastern,Yes,1
FSM,"Fort Smith, AR",US/Central,Yes,2
GCC,"Gillette, WY",US/Mountain,Yes,3
